RSM Zip,"City, ST, Zip",Lat,Long, Factor 
94102,"San Francisco, CA 94102", 37.77956 , (122.41931), 1.350 
11101,"Long Island City, NY 11101", 40.74679 , (73.93916), 1.342 
11691,"Far Rockaway, NY 11691", 40.60152 , (73.76173), 1.338 
11201,"Brooklyn, NY 11201", 40.69477 , (73.99031), 1.337 
11427,"Queens Village, NY 11427", 40.73094 , (73.74569), 1.337 
11354,"Flushing, NY 11354", 40.76860 , (73.82743), 1.337 
11424,"Jamaica, NY 11424", 40.71397 , (73.82809), 1.333 
10001,"New York, NY 10001", 40.75064 , (73.99728), 1.321 
10301,"Staten Island, NY 10301", 40.62803 , (74.09564), 1.310 
10451,"Bronx, NY 10451", 40.82097 , (73.92383), 1.306 
95110,"San Jose, CA 95110", 37.34656 , (121.90970), 1.304 
94601,"Oakland, CA 94601", 37.77684 , (122.21822), 1.298 
94401,"San Mateo, CA 94401", 37.57445 , (122.31942), 1.293 
94301,"Palo Alto, CA 94301", 37.44424 , (122.14992), 1.290 
94702,"Berkeley, CA 94702", 37.86619 , (122.28634), 1.287 
94901,"San Rafael, CA 94901", 37.98053 , (122.50249), 1.273 
94801,"Richmond, CA 94801", 37.95217 , (122.38025), 1.259 
10801,"New Rochelle, NY 10801", 40.91751 , (73.78396), 1.257 
95401,"Santa Rosa, CA 95401", 38.44922 , (122.79307), 1.255 
11901,"Riverhead, NY 11901", 40.92424 , (72.64697), 1.251 
11801,"Hicksville, NY 11801", 40.76256 , (73.52383), 1.246 
12601,"Poughkeepsie, NY 12601", 41.70602 , (73.91119), 1.243 
94589,"Vallejo, CA 94589", 38.14162 , (122.24596), 1.240 
95060,"Santa Cruz, CA 95060", 37.01352 , (122.10176), 1.235 
60601,"Chicago, IL 60601", 41.88527 , (87.62197), 1.231 
93901,"Salinas, CA 93901", 36.64794 , (121.63044), 1.231 
10701,"Yonkers, NY 10701", 40.94702 , (73.88034), 1.214 
96001,"Redding, CA 96001", 40.57731 , (122.45443), 1.212 
10601,"White Plains, NY 10601", 41.03288 , (73.76480), 1.208 
95501,"Eureka, CA 95501", 40.80435 , (124.14034), 1.206 
60014,"Crystal Lake, IL 60014", 42.23126 , (88.32679), 1.206 
60423,"Frankfort, IL 60423", 41.47922 , (87.83961), 1.206 
10550,"Mount Vernon, NY 10550", 40.90627 , (73.83510), 1.205 
60431,"Joliet, IL 60431", 41.53355 , (88.20568), 1.205 
93650,"Fresno, CA 93650", 36.84026 , (119.80038), 1.203 
07102,"Newark, NJ 07102", 40.73576 , (74.17343), 1.200 
10901,"Suffern, NY 10901", 41.14554 , (74.12504), 1.199 
96130,"Susanville, CA 96130", 40.54992 , (120.63064), 1.198 
95901,"Marysville, CA 95901", 39.22250 , (121.48855), 1.195 
07501,"Paterson, NJ 07501", 40.91250 , (74.17099), 1.194 
95202,"Stockton, CA 95202", 37.95968 , (121.28772), 1.193 
95811,"Sacramento, CA 95811", 38.58761 , (121.49077), 1.192 
07201,"Elizabeth, NJ 07201", 40.67237 , (74.17643), 1.189 
07302,"Jersey City, NJ 07302", 40.71894 , (74.04462), 1.188 
07901,"Summit, NJ 07901", 40.71462 , (74.36604), 1.187 
96813,"Honolulu, HI 96813", 21.31628 , (157.84359), 1.187 
08608,"Trenton, NJ 08608", 40.21947 , (74.76693), 1.186 
95350,"Modesto, CA 95350", 37.67175 , (121.00732), 1.185 
12401,"Kingston, NY 12401", 41.93504 , (74.05446), 1.185 
12701,"Monticello, NY 12701", 41.65125 , (74.69820), 1.183 
07740,"Long Branch, NJ 07740", 40.29581 , (73.99190), 1.180 
07601,"Hackensack, NJ 07601", 40.88910 , (74.04614), 1.179 
07801,"Dover, NJ 07801", 40.93167 , (74.54643), 1.179 
90001,"Los Angeles, CA 90001", 33.97365 , (118.24904), 1.178 
08102,"Camden, NJ 08102", 39.95203 , (75.12134), 1.173 
19102,"Philadelphia, PA 19102", 39.95301 , (75.16544), 1.171 
08901,"New Brunswick, NJ 08901", 40.48426 , (74.44275), 1.169 
08742,"Point Pleasant Beach, NJ 08742", 40.08076 , (74.06213), 1.165 
08401,"Atlantic City, NJ 08401", 39.37964 , (74.45284), 1.164 
08360,"Vineland, NJ 08360", 39.49374 , (75.00352), 1.160 
02108,"Boston, MA 02108", 42.35657 , (71.06516), 1.158 
90802,"Long Beach, CA 90802", 33.75035 , (118.21143), 1.149 
92501,"Riverside, CA 92501", 33.99496 , (117.37367), 1.147 
92801,"Anaheim, CA 92801", 33.84441 , (117.95175), 1.147 
93101,"Santa Barbara, CA 93101", 34.41925 , (119.70808), 1.145 
99901,"Ketchikan, AK 99901", 55.62270 , (131.67157), 1.143 
93401,"San Luis Obispo, CA 93401", 35.23539 , (120.61834), 1.142 
93301,"Bakersfield, CA 93301", 35.38428 , (119.02057), 1.142 
60901,"Kankakee, IL 60901", 41.11029 , (87.90049), 1.142 
90301,"Inglewood, CA 90301", 33.95647 , (118.35863), 1.140 
92101,"San Diego, CA 92101", 32.71620 , (117.18589), 1.139 
91401,"Van Nuys, CA 91401", 34.17801 , (118.43183), 1.138 
91801,"Alhambra, CA 91801", 34.09093 , (118.12776), 1.135 
93030,"Oxnard, CA 93030", 34.20510 , (119.17530), 1.129 
92701,"Santa Ana, CA 92701", 33.74860 , (117.85877), 1.129 
92262,"Palm Springs, CA 92262", 33.86287 , (116.55736), 1.128 
91101,"Pasadena, CA 91101", 34.14671 , (118.13895), 1.125 
93501,"Mojave, CA 93501", 35.04110 , (118.22922), 1.122 
92401,"San Bernardino, CA 92401", 34.10586 , (117.29188), 1.120 
61101,"Rockford, IL 61101", 42.33727 , (89.14725), 1.119 
96720,"Hilo, HI 96720", 19.67022 , (155.21718), 1.108 
99501,"Anchorage, AK 99501", 61.22005 , (149.85872), 1.104 
99801,"Juneau, AK 99801", 58.39785 , (134.05472), 1.100 
61301,"La Salle, IL 61301", 41.39368 , (89.07827), 1.099 
01840,"Lawrence, MA 01840", 42.70695 , (71.16014), 1.091 
99701,"Fairbanks, AK 99701", 67.25435 , (149.87754), 1.090 
98101,"Seattle, WA 98101", 47.61119 , (122.33454), 1.084 
01850,"Lowell, MA 01850", 42.65569 , (71.30292), 1.083 
55401,"Minneapolis, MN 55401", 44.98526 , (93.26984), 1.081 
56301,"Saint Cloud, MN 56301", 45.48718 , (94.24307), 1.078 
06103,"Hartford, CT 06103", 41.76477 , (72.67012), 1.077 
19401,"Norristown, PA 19401", 40.13042 , (75.33143), 1.076 
01602,"Worcester, MA 01602", 42.27219 , (71.84946), 1.073 
06010,"Bristol, CT 06010", 41.68100 , (72.94065), 1.072 
06051,"New Britain, CT 06051", 41.66519 , (72.76983), 1.071 
55101,"Saint Paul, MN 55101", 44.95111 , (93.08739), 1.068 
19380,"West Chester, PA 19380", 39.98594 , (75.60358), 1.068 
18901,"Doylestown, PA 18901", 40.30529 , (75.15026), 1.068 
06702,"Waterbury, CT 06702", 41.55713 , (73.04539), 1.068 
06226,"Willimantic, CT 06226", 41.70816 , (72.20731), 1.064 
06901,"Stamford, CT 06901", 41.05349 , (73.53845), 1.062 
02301,"Brockton, MA 02301", 42.07791 , (71.04223), 1.062 
02903,"Providence, RI 02903", 41.81902 , (71.41003), 1.061 
06604,"Bridgeport, CT 06604", 41.17684 , (73.20027), 1.060 
06450,"Meriden, CT 06450", 41.53332 , (72.77399), 1.060 
06850,"Norwalk, CT 06850", 41.12630 , (73.44316), 1.059 
19901,"Dover, DE 19901", 39.17335 , (75.47758), 1.058 
06510,"New Haven, CT 06510", 41.30620 , (72.92652), 1.058 
02740,"New Bedford, MA 02740", 41.63802 , (70.93839), 1.056 
